id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
321350,IE-0029,small_airport,Borris-in-Ossory Airstrip,52.92613,-7.65352,,EU,Ireland,IE,County Laois,IE-LS,LS,Borris-in-Ossory,0,,,,,,,50,2021-04-27T17:48:07+00:00
316000,IE-0001,small_airport,Brittas House Airstrip,52.603908,-8.417588,,EU,Ireland,IE,County Tipperary,IE-TA,TA,Brittas,0,,,,,,,50,2021-04-27T17:12:00+00:00
30993,EIBB,closed,Brittas Bay Airfield,52.858208,-6.06759,50,EU,Ireland,IE,County Wicklow,IE-WW,WW,Brittas Bay,0,EIBB,,,,,,50,2016-09-06T13:16:17+00:00
321351,IE-0030,small_airport,Bunnyconnellan Airstrip,54.094487,-9.034681,,EU,Ireland,IE,County Mayo,IE-MO,MO,Bunnyconnellan,0,,,,,,,50,2021-04-27T17:02:41+00:00
29217,EICB,closed,Castlebar Airport,53.8484,-9.28037,,EU,Ireland,IE,County Mayo,IE-MO,MO,Castlebar,0,EICB,CLB,,,,"CLB, EICB",50,2021-04-27T17:04:50+00:00
30994,EICS,closed,Castleforbes Airport,53.778301,-7.83528,150,EU,Ireland,IE,County Longford,IE-LD,LD,Castleforbes,0,EICS,,,,,,50,2016-12-23T04:57:49+00:00
333212,IE-0056,small_airport,Cregboy Airstrip,53.329,-8.9605,,EU,Ireland,IE,County Galway,IE-G,G,Cregboy,0,,,,,,,50,2021-04-27T17:17:25+00:00
321598,IE-0039,small_airport,Crossmolina Airstrip,54.134279,-9.366467,,EU,Ireland,IE,County Mayo,IE-MO,MO,Crossmolina,0,,,,,,,50,2021-04-27T17:03:54+00:00
322258,IE-0051,small_airport,Carrigart Airstrip,55.161563,-7.710258,,EU,Ireland,IE,County Donegal,IE-DL,DL,Devlinmore,0,,,,,,John Parke,50,2020-08-24T19:05:13+00:00
320225,IE-0009,small_airport,Dowth Hall Airfield,53.709054,-6.438029,,EU,Ireland,IE,County Meath,IE-MH,MH,Dowth,0,,,,,,,50,2021-04-27T17:30:41+00:00
321197,IE-0021,small_airport,Eniskeane Airfield,51.737526,-8.863843,98,EU,Ireland,IE,County Cork,IE-C,C,Eniskeane,0,,,,,,,50,2020-08-24T19:07:28+00:00
343945,IE-0067,small_airport,Feohanagh Airstrip,52.387396,-8.973234,,EU,Ireland,IE,County Kerry,IE-KY,KY,Feohanagh,0,,,,,,,50,2021-10-29T10:45:01+00:00
322003,IE-0047,small_airport,Fethard Airstrip,52.471738,-7.734409,,EU,Ireland,IE,County Tipperary,IE-TA,TA,Fethard,0,,,,,,,50,2017-01-29T03:51:36+00:00
29902,EIGM,closed,Gormanstown Aerodrome,53.6348,-6.2277,69,EU,Ireland,IE,County Meath,IE-MH,MH,Gormanstown,0,EIGM,,,,https://en.wikipedia.org/wiki/Gormanston_Aerodrome,,50,2021-04-27T17:28:51+00:00
321415,IE-0032,small_airport,Gowran Airstrip,52.64263,-7.12033,,EU,Ireland,IE,County Kilkenny,IE-KK,KK,Gowran,0,,,,,,Rathcast,50,2020-02-09T06:23:15+00:00
321414,IE-0031,small_airport,Granard Airfield,53.74978,-7.53327,,EU,Ireland,IE,County Longford,IE-LD,LD,Granard,0,,,,,,,50,2016-12-06T04:52:16+00:00
29220,EIHN,small_airport,Hacketstown Aerodrome,52.85499954223630,-6.547220230102540,610,EU,Ireland,IE,County Carlow,IE-CW,CW,Hacketstown,0,EIHN,,,,,Baile Haicéid,50,2009-02-15T10:58:27+00:00
333219,IE-0059,small_airport,Kilbrook Airstrip,53.423,-6.7785,,EU,Ireland,IE,County Kildare,IE-KE,KE,Kilbrook,0,,,,,,,50,2021-04-27T17:23:06+00:00
29224,EIKK,small_airport,Kilkenny Airport,52.65079879760740,-7.296110153198240,319,EU,Ireland,IE,County Kilkenny,IE-KK,KK,Kilkenny,0,EIKK,KKY,,http://www.kilkennyflying-glidingclub.com/,https://en.wikipedia.org/wiki/Kilkenny_Airport,EIKL,50,2009-02-15T22:00:05+00:00
321314,IE-0024,small_airport,Killamaster Airstrip,52.866546,-6.810249,,EU,Ireland,IE,County Carlow,IE-CW,CW,Killamaster,0,,,,,,,50,2021-04-27T17:37:41+00:00
30997,EIKI,closed,Killenaule Airfield,52.634261,-7.635262,680,EU,Ireland,IE,County Tipperary,IE-TA,TA,Killenaule,0,,,,,,EIKI,50,2021-01-11T05:33:53+00:00
29223,EIKH,small_airport,Kildare Aerodrome,53.0635986328125,-6.855279922485350,260,EU,Ireland,IE,County Kildare,IE-KE,KE,Kilrush,0,EIKH,,,,,,50,2009-02-15T21:54:51+00:00
29225,EILT,small_airport,Letterkenny Airfield,54.951302,-7.67283,20,EU,Ireland,IE,County Donegal,IE-DL,DL,Letterkenny,0,EILT,LTR,,,,,50,2020-02-09T08:18:28+00:00
29219,EICN,small_airport,Coonagh Aerodrome,52.666500091552700,-8.681830406188970,6,EU,Ireland,IE,County Limerick,IE-LK,LK,Limerick,0,EICN,,,,,,50,2009-04-07T13:06:00+00:00
321836,IE-0045,small_airport,Maganey Airstrip,52.898174,-6.928672,,EU,Ireland,IE,County Kildare,IE-KE,KE,Maganey Lower,0,,,,,,,50,2021-04-27T17:37:09+00:00
322163,IE-0049,small_airport,Millicent Airfield,53.271783,-6.68574,,EU,Ireland,IE,County Kildare,IE-KE,KE,Millicent,0,,,,,,,50,2021-04-27T17:24:06+00:00
322164,IE-0050,small_airport,Milltownpass Airfield,53.452082,-7.237543,,EU,Ireland,IE,County Westmeath,IE-WH,WH,Milltownpass,0,,,,,,,50,2021-04-27T17:32:38+00:00
